
"['1495[0.00,0.50,0.00]=0.00', '5B01[0.50,0.50,0.00]=0.00', 'CD37[0.00,0.00,0.00]=0.27', '592F[0.50,0.00,0.00]=0.29', 'le_us=5096', 'est[0.24,0.39,-0.02,58]']"
"['1495[0.00,0.50,0.00]=0.00', '5B01[0.50,0.50,0.00]=0.00', 'CD37[0.00,0.00,0.00]=0.31', '592F[0.50,0.00,0.00]=0.27', 'le_us=5218', 'est[0.24,0.42,-0.06,47]']"
"['1495[0.00,0.50,0.00]=0.00', '5B01[0.50,0.50,0.00]=0.00', 'CD37[0.00,0.00,0.00]=0.26', '592F[0.50,0.00,0.00]=0.24', 'le_us=5065', 'est[0.25,0.43,-0.01,57]']"
"['1495[0.00,0.50,0.00]=0.00', '5B01[0.50,0.50,0.00]=0.00', 'CD37[0.00,0.00,0.00]=0.22', '592F[0.50,0.00,0.00]=0.30', 'le_us=5310', 'est[0.25,0.43,-0.05,46]']"
"['1495[0.00,0.50,0.00]=0.00', '5B01[0.50,0.50,0.00]=0.00', 'CD37[0.00,0.00,0.00]=0.18', '592F[0.50,0.00,0.00]=0.23', 'le_us=5279', 'est[0.25,0.42,-0.07,60]']"
"['1495[0.00,0.50,0.00]=0.00', '5B01[0.50,0.50,0.00]=0.00', 'CD37[0.00,0.00,0.00]=0.26', '592F[0.50,0.00,0.00]=0.33', 'le_us=5157', 'est[0.25,0.43,-0.09,45]']"
"['1495[0.00,0.50,0.00]=0.00', '5B01[0.50,0.50,0.00]=0.00', 'CD37[0.00,0.00,0.00]=0.21', '592F[0.50,0.00,0.00]=0.28', 'le_us=5279', 'est[0.25,0.43,-0.10,50]']"
"['1495[0.00,0.50,0.00]=0.00', '5B01[0.50,0.50,0.00]=0.17', 'CD37[0.00,0.00,0.00]=0.27', '592F[0.50,0.00,0.00]=0.25', 'le_us=4852', 'est[0.26,0.44,-0.05,59]']"
"['5B01[0.50,0.50,0.00]=0.00', '1495[0.00,0.50,0.00]=0.00', '592F[0.50,0.00,0.00]=0.30', 'CD37[0.00,0.00,0.00]=0.27', 'le_us=5065', 'est[0.25,0.46,-0.06,63]']"
"['1495[0.00,0.50,0.00]=0.00', '5B01[0.50,0.50,0.00]=0.00', 'CD37[0.00,0.00,0.00]=0.22', '592F[0.50,0.00,0.00]=0.30', 'le_us=5310', 'est[0.25,0.45,-0.08,44]']"
"['1495[0.00,0.50,0.00]=0.00', '5B01[0.50,0.50,0.00]=0.00', 'CD37[0.00,0.00,0.00]=0.30', '592F[0.50,0.00,0.00]=0.22', 'le_us=5401', 'est[0.25,0.45,-0.10,46]']"
"['1495[0.00,0.50,0.00]=0.00', '5B01[0.50,0.50,0.00]=0.00', 'CD37[0.00,0.00,0.00]=0.27', '592F[0.50,0.00,0.00]=0.22', 'le_us=5249', 'est[0.25,0.44,-0.11,44]']"
"['1495[0.00,0.50,0.00]=0.00', '5B01[0.50,0.50,0.00]=0.00', 'CD37[0.00,0.00,0.00]=0.00', '592F[0.50,0.00,0.00]=0.28', 'le_us=6042', 'est[0.25,0.40,-0.13,56]']"
"['1495[0.00,0.50,0.00]=0.00', '5B01[0.50,0.50,0.00]=0.00', 'CD37[0.00,0.00,0.00]=0.17', '592F[0.50,0.00,0.00]=0.29', 'le_us=5554', 'est[0.25,0.39,-0.13,67]']"
"['1495[0.00,0.50,0.00]=0.00', '5B01[0.50,0.50,0.00]=0.18', 'CD37[0.00,0.00,0.00]=0.29', '592F[0.50,0.00,0.00]=0.22', 'le_us=4821', 'est[0.21,0.37,-0.14,41]']"
"['1495[0.00,0.50,0.00]=0.00', '5B01[0.50,0.50,0.00]=0.00', 'CD37[0.00,0.00,0.00]=0.00', '592F[0.50,0.00,0.00]=0.24', 'le_us=5340', 'est[0.22,0.34,-0.15,56]']"
"['1495[0.00,0.50,0.00]=0.00', '5B01[0.50,0.50,0.00]=0.00', 'CD37[0.00,0.00,0.00]=0.20', '592F[0.50,0.00,0.00]=0.25', 'le_us=5462', 'est[0.23,0.35,-0.15,54]']"
"['1495[0.00,0.50,0.00]=0.00', '5B01[0.50,0.50,0.00]=0.00', 'CD37[0.00,0.00,0.00]=0.24', '592F[0.50,0.00,0.00]=0.33', 'le_us=5127', 'est[0.23,0.38,-0.15,40]']"
"['1495[0.00,0.50,0.00]=0.00', '5B01[0.50,0.50,0.00]=0.00', 'CD37[0.00,0.00,0.00]=0.25', '592F[0.50,0.00,0.00]=0.33', 'le_us=5157', 'est[0.24,0.40,-0.15,43]']"
"['1495[0.00,0.50,0.00]=0.00', '5B01[0.50,0.50,0.00]=0.00', 'CD37[0.00,0.00,0.00]=0.26', '592F[0.50,0.00,0.00]=0.23', 'le_us=5249', 'est[0.25,0.42,-0.09,58]']"
"['1495[0.00,0.50,0.00]=0.00', '5B01[0.50,0.50,0.00]=0.00', 'CD37[0.00,0.00,0.00]=0.25', '592F[0.50,0.00,0.00]=0.27', 'le_us=5065', 'est[0.25,0.43,-0.03,52]']"
"['1495[0.00,0.50,0.00]=0.00', '5B01[0.50,0.50,0.00]=0.00', 'CD37[0.00,0.00,0.00]=0.19', '592F[0.50,0.00,0.00]=0.37', 'le_us=6103', 'est[0.25,0.43,-0.06,58]']"
"['1495[0.00,0.50,0.00]=0.00', '5B01[0.50,0.50,0.00]=0.00', 'CD37[0.00,0.00,0.00]=0.28', '592F[0.50,0.00,0.00]=0.30', 'le_us=5249', 'est[0.24,0.45,-0.01,59]']"
